asin,brand_grouped_50,quarter,q_jt,price_mean,price_sd,n_hh,joint_pc1,joint_pc2,joint_pc3,joint_pc4,joint_pc5,text_only_embed
B07C1ZQ5ZY,Sensodyne,2021Q1,1,9.66835055183953,,1,-1.4946205345071,0.896099008040599,-1.80937447748936,-2.44756155092814,-1.67704485063782,0
B07C1ZQ5ZY,Sensodyne,2021Q2,4,9.27583213020086,0.145665273059936,4,-1.4946205345071,0.896099008040599,-1.80937447748936,-2.44756155092814,-1.67704485063782,0
B07C1ZQ5ZY,Sensodyne,2021Q4,2,9.56243317450482,0,2,-1.4946205345071,0.896099008040599,-1.80937447748936,-2.44756155092814,-1.67704485063782,0
B07C1ZQ5ZY,Sensodyne,2022Q1,3,9.41120407697039,0,3,-1.4946205345071,0.896099008040599,-1.80937447748936,-2.44756155092814,-1.67704485063782,0
B07C1ZQ5ZY,Sensodyne,2022Q2,6,9.97421089517955,0.10845875361062,5,-1.4946205345071,0.896099008040599,-1.80937447748936,-2.44756155092814,-1.67704485063782,0
B07C1ZQ5ZY,Sensodyne,2022Q3,3,9.84422737687745,0.00427584973422566,3,-1.4946205345071,0.896099008040599,-1.80937447748936,-2.44756155092814,-1.67704485063782,0
B07C1ZQ5ZY,Sensodyne,2022Q4,5,9.71761110253097,0.0182735879344966,4,-1.4946205345071,0.896099008040599,-1.80937447748936,-2.44756155092814,-1.67704485063782,0
B07C1ZQ5ZY,Sensodyne,2023Q1,4,10.1325143125263,0.338669977821255,4,-1.4946205345071,0.896099008040599,-1.80937447748936,-2.44756155092814,-1.67704485063782,0
B07YXDVT9W,Sensodyne,2020Q4,1,16.0685923410101,,1,-1.31532430706112,0.884382042222179,-1.81371892898299,-2.59290554230213,-1.57340019822995,0
B07YXDVT9W,Sensodyne,2021Q4,3,16.0449293255587,0.886706918583406,3,-1.31532430706112,0.884382042222179,-1.81371892898299,-2.59290554230213,-1.57340019822995,0
